"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
5,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/refugee-and-asylum/refugee,358,"How to seek refuge in the U.S.",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/refugee-and-asylum/refugee,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Refugees and asylum","Seek refuge in the U.S.","Seek refuge in the U.S.","USAGov English",not_homepage,https://www.usa.gov/es/solicitud-refugio-estados-unidos
4,"Content Page","Standard Page",basic_page,/housing-help/rental-housing-programs/public-housing,209,"Public housing",https://www.usa.gov/housing-help/rental-housing-programs/public-housing,Home,"Housing help","Rental assistance","Public housing","Public housing","Public housing","USAGov English",not_homepage,https://www.usa.gov/es/vivienda-publica
4,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/become-us-citizen/prove-us-citizenship,379,"Proving U.S. citizenship",https://www.usa.gov/immigration-and-citizenship/become-us-citizen/prove-us-citizenship,Home,"Immigration and U.S. citizenship","U.S. citizenship","Proving U.S. citizenship","Proving U.S. citizenship","Proving U.S. citizenship","USAGov English",not_homepage,https://www.usa.gov/es/probar-ciudadania-estados-unidos
3,"Navigation Page","Navigation Page",basic_page,/about/products-programs,170,"Products and programs",https://www.usa.gov/about/products-programs,Home,"About USAGov","Products and programs","Products and programs","Products and programs","Products and programs","USAGov English",not_homepage,https://www.usa.gov/es/programas-y-servicios
4,"Content Page","Standard Page",basic_page,/about/products-programs/product-principles,572,"USAGov's product principles",https://www.usa.gov/about/products-programs/product-principles,Home,"About USAGov","Products and programs","USAGov product principles","USAGov product principles","USAGov product principles","USAGov English",not_homepage,https://www.usa.gov/es/valores-principios-eticos
5,"Content Page","Standard Page",basic_page,/about/website-policies-and-notices/privacy/privacy-security,201,"USA.gov privacy and security policies",https://www.usa.gov/about/website-policies-and-notices/privacy/privacy-security,Home,"About USAGov","Website policies and notices","Privacy and security policies","USA.gov privacy and security policies","USA.gov privacy and security policies","USAGov English",not_homepage,https://www.usa.gov/es/privacidad-seguridad
4,"Navigation Page","Navigation Page",basic_page,/about/website-policies-and-notices/privacy,204,"Privacy and security policies",https://www.usa.gov/about/website-policies-and-notices/privacy,Home,"About USAGov","Website policies and notices","Privacy and security policies","Privacy and security policies","Privacy and security policies","USAGov English",not_homepage,https://www.usa.gov/es/politicas-privacidad
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/prisons-prisoners/prisoner-records,423,"How to look up prisoners and prison records",https://www.usa.gov/laws-and-legal-issues/prisons-prisoners/prisoner-records,Home,"Laws and legal issues","Prisons and prisoners","Look up prisoners and prison records","Look up prisoners and prison records","Look up prisoners and prison records","USAGov English",not_homepage,https://www.usa.gov/es/localizar-prisioneros-registros-prisiones
4,"Content Page","Standard Page",basic_page,/about-the-us/facts-figures/presidential-succession,157,"Order of presidential succession",https://www.usa.gov/about-the-us/facts-figures/presidential-succession,Home,"About the U.S. and its government","U.S. facts and figures","Order of presidential succession","Order of presidential succession","Order of presidential succession","USAGov English",not_homepage,https://www.usa.gov/es/sucesion-presidencial
4,"Content Page","Standard Page",basic_page,/about/website-policies-and-notices/pra-statement,188,"Paperwork Reduction Act statement",https://www.usa.gov/about/website-policies-and-notices/pra-statement,Home,"About USAGov","Website policies and notices","Paperwork Reduction Act statement","Paperwork Reduction Act statement","Paperwork Reduction Act statement","USAGov English",not_homepage,https://www.usa.gov/es/declaracion-ley-reduccion-del-papeleo
3,"Navigation Page","Navigation Page",basic_page,/about/partner-with-usagov,803,"Partner with USAGov",https://www.usa.gov/about/partner-with-usagov,Home,"About USAGov","Partner with USAGov","Partner with USAGov","Partner with USAGov","Partner with USAGov","USAGov English",not_homepage,https://www.usa.gov/es/colabore-con-nosotros
5,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/wage-laws/overtime-pay,286,"Overtime pay",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/wage-laws/overtime-pay,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Overtime pay","Overtime pay","USAGov English",not_homepage,https://www.usa.gov/es/pago-horas-extra
5,"Content Page","Standard Page",basic_page,/about/website-policies-and-notices/privacy/optout-instructions,193,"Web measurement and customization opt-out",https://www.usa.gov/about/website-policies-and-notices/privacy/optout-instructions,Home,"About USAGov","Website policies and notices","Privacy and security policies","Web measurement and customization opt-out","Web measurement and customization opt-out","USAGov English",not_homepage,https://www.usa.gov/es/instrucciones-desactivacion-exclusion
4,"Content Page","Standard Page",basic_page,/about-the-us/facts-figures/official-language-of-us,162,"Official language of the United States",https://www.usa.gov/about-the-us/facts-figures/official-language-of-us,Home,"About the U.S. and its government","U.S. facts and figures","Official language of the United States","Official language of the United States","Official language of the United States","USAGov English",not_homepage,https://www.usa.gov/es/idioma-oficial-estados-unidos
4,"Content Page","Standard Page",basic_page,/about-the-us/tribes/native-american-housing-help,153,"Housing assistance for Native Americans",https://www.usa.gov/about-the-us/tribes/native-american-housing-help,Home,"About the U.S. and its government","Indian tribes and resources for Native Americans","Housing assistance","Housing assistance","Housing assistance","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/about-the-us/tribes/native-american-financial-assistance,152,"Financial assistance and services for Native Americans",https://www.usa.gov/about-the-us/tribes/native-american-financial-assistance,Home,"About the U.S. and its government","Indian tribes and resources for Native Americans","Financial assistance and services","Financial assistance and services","Financial assistance and services","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/become-us-citizen/naturalization,373,"Become a U.S. citizen through naturalization",https://www.usa.gov/immigration-and-citizenship/become-us-citizen/naturalization,Home,"Immigration and U.S. citizenship","U.S. citizenship","Become a U.S. citizen through naturalization","Become a U.S. citizen through naturalization","Become a U.S. citizen through naturalization","USAGov English",not_homepage,https://www.usa.gov/es/ciudadania-estados-unidos-naturalizacion
4,"Content Page","Standard Page",basic_page,/about-the-us/facts-figures/national-anthem,161,"The U.S. national anthem",https://www.usa.gov/about-the-us/facts-figures/national-anthem,Home,"About the U.S. and its government","U.S. facts and figures","U.S. national anthem","U.S. national anthem","U.S. national anthem","USAGov English",not_homepage,https://www.usa.gov/es/himno-nacional-estados-unidos
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/family-legal-issues/name-change,56,"Federal and state agencies to notify of a name change",https://www.usa.gov/laws-and-legal-issues/family-legal-issues/name-change,Home,"Laws and legal issues","Family legal issues","Agencies to notify of a name change","Agencies to notify of a name change","Agencies to notify of a name change","USAGov English",not_homepage,https://www.usa.gov/es/reportar-cambio-nombre
5,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/non-immigrant-visas/nonimmigrant-work-visa/nafta-visa,386,"Work in the U.S. with a NAFTA visa",https://www.usa.gov/immigration-and-citizenship/non-immigrant-visas/nonimmigrant-work-visa/nafta-visa,Home,"Immigration and U.S. citizenship","Nonimmigrant and tourist visas","Nonimmigrant work visas","NAFTA visa","NAFTA visa","USAGov English",not_homepage,None
3,"Content Page","Standard Page",basic_page,/about/mission-history,167,"USAGov's mission and history",https://www.usa.gov/about/mission-history,Home,"About USAGov","USAGov&#039;s mission and history","USAGov&#039;s mission and history","USAGov&#039;s mission and history","USAGov&#039;s mission and history","USAGov English",not_homepage,https://www.usa.gov/es/mision-historia
5,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/wage-laws/minimum-wage,284,"Minimum wage",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/wage-laws/minimum-wage,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Minimum wage","Minimum wage","USAGov English",not_homepage,https://www.usa.gov/es/salario-minimo
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/laws-and-regulations/research-laws,430,"Research federal laws",https://www.usa.gov/laws-and-legal-issues/laws-and-regulations/research-laws,Home,"Laws and legal issues","Federal laws and regulations","Research federal laws","Research federal laws","Research federal laws","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/housing-help/repairing-home/weatherization-energy-programs,219,"Weatherization and energy efficiency assistance",https://www.usa.gov/housing-help/repairing-home/weatherization-energy-programs,Home,"Housing help","Home repair and energy assistance","Weatherization and energy efficiency","Weatherization and energy efficiency","Weatherization and energy efficiency","USAGov English",not_homepage,https://www.usa.gov/es/programas-climatizacion
3,"Navigation Page","Navigation Page",basic_page,/housing-help/repairing-home,220,"Home repair and energy efficiency assistance",https://www.usa.gov/housing-help/repairing-home,Home,"Housing help","Home repair and energy assistance","Home repair and energy assistance","Home repair and energy assistance","Home repair and energy assistance","USAGov English",not_homepage,https://www.usa.gov/es/reparacion-y-eficiencia-energetica-vivienda
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/non-immigrant-visas/student-visa,397,"Get a student visa to study in the U.S.",https://www.usa.gov/immigration-and-citizenship/non-immigrant-visas/student-visa,Home,"Immigration and U.S. citizenship","Nonimmigrant and tourist visas","Student visa to study in the U.S.","Student visa to study in the U.S.","Student visa to study in the U.S.","USAGov English",not_homepage,https://www.usa.gov/es/visas-estudiante
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/prisons-prisoners/visit-prisoner-send-money,424,"How to visit or send money to a prisoner",https://www.usa.gov/laws-and-legal-issues/prisons-prisoners/visit-prisoner-send-money,Home,"Laws and legal issues","Prisons and prisoners","Visit or send money to a prisoner","Visit or send money to a prisoner","Visit or send money to a prisoner","USAGov English",not_homepage,https://www.usa.gov/es/visitar-mandar-dinero-prisionero
